Component,Deadline Date,Type,Name,,Alias,,City,Region,2015 Federal Riding,2025 New Federal Riding,Total Grant
Public Outreach,27-Mar-24,Organization,Montréal Baroque Inc.,,Montréal Baroque Inc.,,MONTRÉAL,QC,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs, Ville-Marie—Le Sud-Ouest—Île-des-Soeurs ,"$17,000 "
Public Outreach,27-Mar-24,Organization,PQDS,,PQDS,,MONTRÉAL,QC,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs, Ville-Marie—Le Sud-Ouest—Île-des-Soeurs ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Dancers of Damelahamid,,Dancers of Damelahamid,,WEST VANCOUVER,BC,West Vancouver--Sunshine Coast--Sea to Sky Country, West Vancouver—Sunshine Coast—Sea to Sky Country ,"$30,000 "
Public Outreach,27-Mar-24,Organization,Art City,,Art City,,WINNIPEG,MB,Winnipeg Centre, Winnipeg Centre ,"$20,000 "
Public Outreach,27-Mar-24,Organization,The Forks Foundation Inc.,,The Forks Foundation Inc.,,WINNIPEG,MB,Winnipeg Centre, Saint Boniface—Saint Vital ,"$95,000 "
Public Outreach,27-Mar-24,Organization,Dawson City Music Festival Association,,Dawson City Music Festival Association,,DAWSON CITY,YT,Yukon, Yukon ,"$30,000 "
Public Outreach,21-Aug-24,Organization,The Reach Gallery Museum,,The Reach Gallery Museum,,ABBOTSFORD,BC,Abbotsford, Abbotsford ,"$100,000 "
Public Outreach,21-Aug-24,Organization,LA SERRE arts vivants,,LA SERRE arts vivants,,MONTRÉAL,QC,Ahuntsic-Cartierville, Ahuntsic-Cartierville ,"$30,000 "
Public Outreach,21-Aug-24,Organization,Montreal Krump Alliance,,Montreal Krump Alliance,,MONTREAL,QC,Ahuntsic-Cartierville, Ahuntsic-Cartierville ,"$12,400 "
Public Outreach,21-Aug-24,Organization,Aurora Cultural Centre,,Aurora Cultural Centre,,AURORA,ON,Aurora--Oak Ridges--Richmond Hill, Aurora—Oak Ridges—Richmond Hill ,"$30,000 "
Public Outreach,21-Aug-24,Organization,PHOS événement,,PHOS événement,,MATANE,QC,Avignon--La Mitis--Matane--Matapédia, Avignon—La Mitis—Matane—Matapédia ,"$70,000 "
Public Outreach,21-Aug-24,Organization,Canmore Folk Music Festival,,Canmore Folk Music Festival,,CANMORE,AB,Banff--Airdrie, Banff—Airdrie ,"$28,000 "
Public Outreach,21-Aug-24,Organization,Talk Is Free Theatre,,Talk Is Free Theatre,,BARRIE,ON,Barrie--Springwater--Oro-Medonte, Barrie—Springwater—Oro-Medonte ,"$30,000 "
Public Outreach,21-Aug-24,Organization,Community Arts Guild,,Community Arts Guild,,TORONTO,ON,Beaches--East York, Beaches—East York ,"$30,000 "
Public Outreach,21-Aug-24,Organization,Je lis autochtone,,Je lis autochtone,,WENDAKE,QC,Beauport--Côte-de-Beaupré--Île d’Orléans--Charlevoix, Louis-Saint-Laurent ,"$60,000 "
Public Outreach,21-Aug-24,Organization,La PPDA,,La PPDA,,SAINT-MATHIEU-DU-PARC,QC,Berthier--Maskinongé, Berthier—Maskinongé ,"$30,000 "
Public Outreach,21-Aug-24,Organization,Bonavista Biennale Inc.,,Bonavista Biennale Inc.,,BONAVISTA,NL,Bonavista--Burin--Trinity, Bonavista—Burin—Trinity ,"$40,000 "
Public Outreach,21-Aug-24,Organization,CENTRE ADÉLARD,,CENTRE ADÉLARD,,FRELIGHSBURG,QC,Brome--Missisquoi, Brome—Missisquoi ,"$23,000 "
Public Outreach,21-Aug-24,Organization,Electric Eclectics,,Electric Eclectics,,MEAFORD,ON,Bruce--Grey--Owen Sound, Bruce—Grey—Owen Sound ,"$30,000 "
Public Outreach,21-Aug-24,Group,The Grey Zone Collective,,The Grey Zone Collective,,DURHAM,ON,Bruce--Grey--Owen Sound, Bruce—Grey—Owen Sound ,"$30,000 "
Public Outreach,21-Aug-24,Organization,Calgary Black Film Festival,,Calgary Black Film Festival,,CALGARY,AB,Calgary Centre, Calgary Centre ,"$60,000 "
Public Outreach,21-Aug-24,Organization,Alcove Centre for the Arts,,Alcove Centre for the Arts,,CALGARY,AB,Calgary Rocky Ridge, Banff—Airdrie ,"$92,000 "
Public Outreach,21-Aug-24,Organization,Souris Show Hall Foundation Ltd,,Souris Show Hall Foundation Ltd,,SOURIS,PE,Cardigan, Cardigan ,"$30,000 "
Public Outreach,21-Aug-24,Organization,1.72E+12,,Community Arts Mentorship Program,,SWIFT CURRENT,SK,Cypress Hills--Grasslands, Cypress Hills—Grasslands ,"$68,300 "
Public Outreach,21-Aug-24,Organization,aluCine Latin Film+Media Arts Festival,,aluCine Latin Film+Media Arts Festival,,TORONTO,ON,Davenport, Davenport ,"$60,000 "
Public Outreach,21-Aug-24,Organization,Art Spin,,Art Spin,,TORONTO,ON,Davenport, Davenport ,"$40,000 "
Public Outreach,21-Aug-24,Organization,Lula Music and Arts Centre,,Lula Music and Arts Centre,,TORONTO,ON,Davenport, Davenport ,"$25,000 "
