Component,Deadline Date,Type,Name,,Alias,,City,Region,2015 Federal Riding,2025 New Federal Riding,Total Grant
Circulation and Touring,26 June 2024,Individual,"Chlala, Liliane",,"Chlala, Liliane",,MONTRÉAL,QC,Outremont, Outremont ," $6,900 "
Circulation and Touring,26 June 2024,Organization,Constantinople,,Constantinople,,MONTRÉAL,QC,Outremont, Outremont ," $55,000 "
Circulation and Touring,26 June 2024,Individual,"Dutcher, Jeremy",,"Dutcher, Jeremy",,MONTRÉAL,QC,Outremont, Outremont ," $15,000 "
Circulation and Touring,26 June 2024,Individual,"Fils-Aimé, Dominique",,"Fils-Aimé, Dominique",,MONTRÉAL,QC,Outremont, Outremont ," $55,000 "
Circulation and Touring,26 June 2024,Individual,"Furey, Clara",,"Furey, Clara",,MONTREAL,QC,Outremont, Outremont ," $35,000 "
Circulation and Touring,26 June 2024,Individual,"Kinner, Adam",,"Kinner, Adam",,MONTRÉAL,QC,Outremont, Outremont ," $60,000 "
Circulation and Touring,26 June 2024,Group,Les Deuxluxes S.E.N.C,,Les Deuxluxes S.E.N.C,,MONTRÉAL,QC,Outremont, Outremont ," $6,350 "
Circulation and Touring,26 June 2024,Group,Wesli,,Wesli,,MONTRÉAL,QC,Outremont, Outremont ," $24,700 "
Circulation and Touring,26 June 2024,Group,Bon Enfant,,Bon Enfant,,MONTREAL,QC,Papineau, Papineau ," $18,300 "
Circulation and Touring,26 June 2024,Group,La ruée vers l'or,,La ruée vers l'or,,MONTRÉAL,QC,Papineau, Papineau ," $32,000 "
Circulation and Touring,26 June 2024,Individual,"Moss, Jessica",,"Moss, Jessica",,MONTRÉAL,QC,Papineau, Papineau ," $6,290 "
Circulation and Touring,26 June 2024,Organization,Productions Kalabanté,,Productions Kalabanté,,MONTREAL,QC,Papineau                                                                                            , Saint-Léonard—Saint-Michel ," $15,000 "
Circulation and Touring,26 June 2024,Individual,"Therrien, Rachel",,"Therrien, Rachel",,MONTRÉAL,QC,Papineau, Papineau ," $14,300 "
Circulation and Touring,26 June 2024,Group,Showman & Coole,,Showman & Coole,,TORONTO,ON,Parkdale--High Park, Parkdale—High Park ," $8,990 "
Circulation and Touring,26 June 2024,Group,Twin Flames,,Twin Flames,,CANTLEY,QC,Pontiac, Pontiac ," $7,900 "
Circulation and Touring,26 June 2024,Organization,Alan Lake Factori(e),,Alan Lake Factori(e),,QUÉBEC,QC,Québec, Québec ," $52,500 "
Circulation and Touring,26 June 2024,Organization,Ex Machina,,Ex Machina,,QUÉBEC,QC,Québec, Québec ," $164,000 "
Circulation and Touring,26 June 2024,Organization,Le Théâtre des Confettis inc.,,Le Théâtre des Confettis inc.,,QUÉBEC,QC,Québec, Québec ," $28,000 "
Circulation and Touring,26 June 2024,Organization,Animals of Distinction,,Animals of Distinction Arts Society,,MONTREAL,QC,Rosemont--La Petite-Patrie, Rosemont—La Petite-Patrie ," $100,000 "
Circulation and Touring,26 June 2024,Organization,ANNE PLAMONDON PRODUCTIONS,,ANNE PLAMONDON PRODUCTIONS,,MONTRÉAL,QC,Rosemont--La Petite-Patrie, Rosemont—La Petite-Patrie ," $41,600 "
Circulation and Touring,26 June 2024,Individual,"Lodi, Geremia Lorenzo",,"Lodi, Geremia Lorenzo",,MONTREAL,QC,Rosemont--La Petite-Patrie, Rosemont—La Petite-Patrie ," $7,430 "
Circulation and Touring,26 June 2024,Individual,"Navab, Navid",,"Navab, Navid",,MONTRÉAL,QC,Rosemont--La Petite-Patrie, Papineau ," $120,000 "
Circulation and Touring,26 June 2024,Group,Patche,,Patche,,MONTRÉAL,QC,Rosemont--La Petite-Patrie, Rosemont—La Petite-Patrie ," $10,200 "
Circulation and Touring,26 June 2024,Individual,"San, Eric",,"San, Eric",,MONTRÉAL,QC,Rosemont--La Petite-Patrie, Rosemont—La Petite-Patrie ," $40,000 "
Circulation and Touring,26 June 2024,Group,scapegoat,,scapegoat,,MONTREAL,QC,Rosemont--La Petite-Patrie, Rosemont—La Petite-Patrie ," $9,200 "
Circulation and Touring,26 June 2024,Group,Second Self,,Second Self,,MONTREAL,QC,Rosemont--La Petite-Patrie, Rosemont—La Petite-Patrie ," $5,260 "
Circulation and Touring,26 June 2024,Group,Second Self,,Second Self,,MONTREAL,QC,Rosemont--La Petite-Patrie, Rosemont—La Petite-Patrie ," $5,500 "
Circulation and Touring,26 June 2024,Organization,Temps Fort,,Temps Fort,,MONTRÉAL,QC,Rosemont--La Petite-Patrie, Rosemont—La Petite-Patrie ," $38,000 "
Circulation and Touring,26 June 2024,Organization,SNAFU Society of Unexpected Spectacles,,SNAFU Society of Unexpected Spectacles,,NORTH SAANICH,BC,Saanich--Gulf Islands, Saanich—Gulf Islands ," $48,000 "
Circulation and Touring,26 June 2024,Individual,"Cameron, Stephanie",,"Cameron, Stephanie",,SASKATOON,SK,Saskatoon--University, Saskatoon—University ," $40,000 "
Circulation and Touring,26 June 2024,Individual,"Grummett, Sarah",,S.E. Grummett,,SASKATOON,SK,Saskatoon--University, Saskatoon—University ," $11,800 "
Circulation and Touring,26 June 2024,Individual,"Nicholson, John",,"Nicholson, John",,SASKATOON,SK,Saskatoon--University, Saskatoon—University ," $34,500 "
Circulation and Touring,26 June 2024,Organization,Sursaut,,Sursaut,,SHERBROOKE,QC,Sherbrooke, Sherbrooke ," $120,000 "
Circulation and Touring,26 June 2024,Individual,"Kahin, Cameron",,"Kahin, Cameron",,TORONTO,ON,Spadina--Fort York, Spadina—Fort York ," $14,800 "
Circulation and Touring,26 June 2024,Organization,Mammalian Diving Reflex,,Mammalian Diving Reflex,,TORONTO,ON,Spadina--Fort York, Spadina—Fort York ," $99,000 "
Circulation and Touring,26 June 2024,Individual,"Moneka, Ahmed",,"Moneka, Ahmed",,TORONTO,ON,Spadina--Fort York, Spadina—Fort York ," $26,200 "
Circulation and Touring,26 June 2024,Organization,Volcano Theatre,,Volcano Theatre,,TORONTO,ON,Spadina--Fort York, Spadina—Fort York ," $185,000 "
